Method,logistic-nonlinear,logistic-quadratic,uniform-nonlinear,uniform-quadratic
Plug-in,2.16e-04 ± 5.9e-03,-9.19e-04 ± 6.0e-04,-9.10e-04 ± 1.2e-03,-1.86e-03 ± 2.5e-04
DR,-4.42e-04 ± 3.4e-04,-9.23e-04 ± 6.0e-04,-1.03e-03 ± 4.6e-05,-1.84e-03 ± 2.5e-04
