Method,logistic-nonlinear,logistic-quadratic,uniform-nonlinear,uniform-quadratic
Plug-in,1.11e-03 ± 5.9e-03,9.85e-04 ± 6.0e-04,1.92e-04 ± 1.2e-03,3.31e-04 ± 2.5e-04
DR,4.38e-04 ± 3.6e-04,9.80e-04 ± 6.0e-04,6.49e-05 ± 4.4e-05,3.51e-04 ± 2.5e-04
