Method,logistic-nonlinear,logistic-quadratic,uniform-nonlinear,uniform-quadratic
Plug-in,1.29e-01 ± 2.6e-01,1.41e-01 ± 4.9e-02,9.08e-02 ± 3.7e-01,6.78e-02 ± 1.9e-02
DR,8.60e-02 ± 2.2e-02,1.36e-01 ± 3.9e-02,5.00e-02 ± 1.5e-02,6.63e-02 ± 1.6e-02
