ips_estimator,slate_estimator,Direct,doubly robust estimator,cmebis,dr_bis,actual_value,null_reward,ips_estimator_square_error,slate_estimator_square_error,Direct_square_error,doubly robust estimator_square_error,cmebis_square_error,dr_bis_square_error,num_items
0.7197082709164562,1.0878467034641927658,0.4715159,0.48618715042966576,0.5649910018414684,0.5649911210964698,0.81552,0.421,0.009179887429978403,0.07416183341967441667,0.1183388249887836,0.10846012580611641,0.06276477891831753,0.06276471916465973,20
0.6980881397270202,1.5104989767789132049,0.44107074,0.4171353986807202,0.6271578585128659,0.6271579811721756,0.81276,0.396,0.013149635538465808,0.48683967971648478557,0.1381529093783306,0.15651882516903912,0.03444815492461017,0.0344481093929641,20
0.5572808636489773,0.87797168528551661204,0.36462247,0.39241049381981885,0.6471774003920243,0.6471774003920427,0.81196,0.385,0.0648614624925028,0.0043575425942340949292,0.20011086242123008,0.17602178813603386,0.027153305133562435,0.02715330513355636,20
0.7100595454858507,0.7437122112148029096,0.32360175,0.33519974520784696,0.6259859991038774,0.6259859991042492,0.8119,0.366,0.010371478175648503,0.004649574539414640627,0.23843517849242254,0.22724313291890358,0.03456401572920345,0.0345640157290652,20
0.5297397104906435,1.2709584652089549461,0.41134205,0.3933248242994108,0.6437954187125597,0.6437954187122137,0.80998,0.384,0.07853461986428796,0.21250114538640368922,0.15891221150836113,0.1736015354380889,0.02761731505768185,0.027617315057796868,20
0.4255668525765624,0.47455754785382686656,0.34488282,0.34964570531011896,0.5145176089910578,0.5145176076390048,0.81107,0.372,0.14861267667337663,0.113240630449430432214,0.21733049045472952,0.21291237973005414,0.08794332061312052,0.08794332141502963,20
0.4832783563724224,1.0944760295105100401,0.37622064,0.37349228227735226,0.5776440574898091,0.5776440628994265,0.81097,0.361,0.1073818133033433,0.080375668768814176324,0.18900700295946524,0.19138675350381662,0.05444099544826891,0.05444099292386077,20
0.6101849166964219,0.89469862045102210857,0.44269437,0.3925641731671339,0.667748935161512,0.6677489351617271,0.81046,0.381,0.04011010899225512,0.007096145175491359175,0.13525156156742638,0.1746369220843248,0.02036644802733511,0.02036644802727373,20
0.6357235791630814,0.64428750007371760056,0.421271,0.38056824331944156,0.6017007135559813,0.601700872996102,0.81291,0.376,0.031395027728997625,0.028433547481389105649,0.1533811091939317,0.18691939456963122,0.04460936268019154,0.044609295329748735,20
0.39453847255870517,0.7171816082632981315,0.38907787,0.40585307253558367,0.5339959642500696,0.5339959307297023,0.81219,0.374,0.17443279837404663,0.009026594500394589243,0.17902387282862697,0.16510969862122232,0.07739192152683355,0.07739194017716718,20
0.5169968831839274,0.7688116254375487735,0.41905499,0.38347874270798255,0.5876791633423629,0.5876791633421361,0.81024,0.38,0.08599152556000475,0.001716310218886754179,0.15302571592425862,0.1821251707254635,0.049533326013747395,0.049533326013848356,20
0.46531271902927734,0.5635725738067006718,0.4627268,0.41258081653607104,0.5859460808223812,0.5859459022110084,0.811,0.392,0.11949969622493138,0.061220331232640617936,0.12129422070019827,0.15873784575206393,0.0506492665372062,0.05064934693161702,20
0.520660947103224,0.76533608575606815183,0.4085345,0.4361909072668922,0.5986357737354958,0.5986357737353571,0.81469,0.384,0.08645308394737514,0.0024358088511973849562,0.1649622925988014,0.14326156319978575,0.04667942868675358,0.046679428686813504,20
0.4897402552738417,0.67777386320745347525,0.41310465,0.4005896879170863,0.606381288027098,0.6063813079696252,0.81276,0.401,0.1043417554829525,0.01822125712617608112,0.15972439609916994,0.16988436616252647,0.04259217275559406,0.04259216452416831,20
0.5292755462133891,0.6714206187790671132,0.43443784,0.39394425251360854,0.6448485352739542,0.6448485028988016,0.81112,0.396,0.079436296130273,0.019515917113511527248,0.14188944877556578,0.1740356042908294,0.02764619998214466,0.02764621074827382,20
0.7245595586543903,0.76948923722423845373,0.3255844,0.3626844709751457,0.631987710098823,0.6319877100990997,0.81082,0.378,0.007440863741139376,0.0017082319516262757693,0.2354535762294233,0.200825452374386,0.031980987911298595,0.03198098791119964,20
0.4831212106411143,1.5005642760508757227,0.3838273,0.4074762916637111,0.5794459058417044,0.5794458665316624,0.81085,0.391,0.10740615937464085,0.47570578258838375207,0.18234838727214245,0.16271034857696945,0.053547854793221314,0.053547872986232176,20
0.8428951232743085,0.5016173299582263878,0.43716934,0.4161747446648727,0.6997440139865283,0.6997440138936689,0.81067,0.375,0.0010384585700443786,0.095513552859949418794,0.13950274060529927,0.15562650648192727,0.01230457437306092,0.012304574393661958,20
0.48763905710071687,1.753857289906880057,0.3894779,0.34092183694081807,0.5078061899181127,0.5078060522559295,0.81306,0.381,0.10589879007745849,0.88509954069613006045,0.17942178814522702,0.22291444501689867,0.09317988856950894,0.09317997261333975,20
0.5832085224280711,0.75863218122116893305,0.3699459,0.35140475298548646,0.6536451658234156,0.6536451658235051,0.81241,0.386,0.05253331732115542,0.0028920537926087953352,0.19577446779516772,0.21252583777491263,0.025206272571118335,0.02520627257108992,20
0.6482161835803842,0.73824687018438706065,0.38414076,0.43701778540236086,0.6510179379627083,0.6510179379634451,0.81121,0.374,0.026566984191031397,0.005323618312489988326,0.18238813600486964,0.14001981346548562,0.025661496739759492,0.025661496739523452,20
0.7198072219222105,0.86391398724402612697,0.39071813,0.4065769660497252,0.6244248409936046,0.624424884045392,0.80958,0.37,0.008059151683804042,0.002952182169834000839,0.17544526424876775,0.16241144537312632,0.03428243290668354,0.03428241696416433,20
