ips_estimator,slate_estimator,Direct,doubly robust estimator,cmebis,actual_value,null_reward,ips_estimator_square_error,slate_estimator_square_error,Direct_square_error,doubly robust estimator_square_error,cmebis_square_error,num_items
0.7617764978697941,0.5063086195816498547,0.29840854,0.2527426020310426,0.30292521222487595,0.78447,0.32,0.0005149950389336613,0.07737375355624213913,0.23625574474134803,0.282734025750838,0.23188538263338926,20
0.6101123481966392,1.2851018038517250108,0.45468763,0.4784459239939251,0.45529574109680093,0.78311,0.38,0.029928187529476864,0.25199577113430882136,0.10786125628913856,0.09282019920863536,0.10746218834025362,20
0.6502810115848656,1.0749487520216864933,0.31902352,0.36297869263381144,0.3935750239175775,0.78105,0.39,0.017100528331117554,0.08637647643990478685,0.21346846844812878,0.17478361804287412,0.15013685709007393,20
0.9239282605675574,0.013301025988117512466,0.36383614,0.4241699931419985,0.4447225904819024,0.78309,0.41,0.019835415639695205,0.59257506451026664696,0.175773799594014,0.1288235713229478,0.11449250382398794,20
0.1628254090423027,0.7758136687460591707,0.5043344,0.3442687243591048,0.436377221285336,0.78214,0.4,0.3835505625730999,4.0022467134587580494e-05,0.07717595685667318,0.19173125403138475,0.11955189914448566,20
0.2946579094964947,1.0321573388542553129,0.49595556,0.26968610548571903,0.3975126596520468,0.78233,0.42,0.23782406785605906,0.06241369923899895561,0.08201032181485403,0.2628037625827692,0.14808438543247243,20
0.46651549524741437,0.40754478519807302295,0.41176996,0.44980965436445963,0.4692187823129948,0.78273,0.41,0.09999161301592302,0.14076394540596812166,0.13761135398456767,0.11083595653808768,0.0982892836155888,20
0.41531408354769267,1.4592640330838366758,0.32195693,0.14846750414827217,0.2998490010513375,0.78239,0.31,0.13474472843930133,0.45815845666317872587,0.21199860960628927,0.40185773074688397,0.23284581566637313,20
0.7727868561944137,1.6378631400285026398,0.39795724,0.39110318524226145,0.4355565021355973,0.78274,0.43,9.906507161468128e-05,0.7312355846122059466,0.14805777579875876,0.15337939467358722,0.12053638118936169,20
0.6452064413040367,0.109023001877786809843,0.33687356,0.34100139512534006,0.3899849066705841,0.78258,0.44,0.018871494628793287,0.4536790297194071564,0.19865422963780863,0.1949916642830511,0.1541309073063328,20
0.37890806589540427,0.097557533486519742993,0.3633625,0.41219928585364046,0.4734275215017493,0.78305,0.43,0.16333070290180343,0.46989992164673488606,0.17613760510081064,0.13753025218286488,0.09586607919139971,20
0.7399897982442684,0.21090144167138927256,0.46652958,0.5231983503490135,0.47472342460815775,0.78142,0.48,0.0017164616175206293,0.32549142539735642643,0.09915597788591363,0.0666784203484768,0.09406278935708398,20
0.5024736680577305,0.74786598603931675466,0.4082774,0.3935411343412886,0.4104019925456795,0.78227,0.39,0.07828598736834866,0.001183636176606892151,0.13987047054887958,0.1511101309963085,0.1382858149680466,20
0.3799833823736872,-0.46064864369909780395,0.47871822,0.26882793312120434,0.3861643154121703,0.7842,0.33,0.1633910739652568,1.5496481457194832831,0.09331911718639324,0.26560836731892185,0.15843240620530227,20
0.33181034903807394,0.62549252748503270105,0.51425385,0.3914455947819951,0.4015098795278873,0.78462,0.41,0.20503658000426128,0.025321552509001667847,0.073097852496486,0.15458611291853191,0.1467733644081567,20
0.8443756173980302,0.7404967638447556011,0.3157643,0.3158793823272591,0.4209857063317343,0.78255,0.39,0.003822406966647624,0.0017684746711287538303,0.21788888227854017,0.2177814653990575,0.13072873845583183,20
0.7113077758475118,0.9853930336185192651,0.45262647,0.4665841425180954,0.42055217171020487,0.78164,0.41,0.004946621754235843,0.04151529870874945405,0.10824990506092592,0.0992601933336582,0.13038441973904058,20
0.6645786820089833,-0.13015908183928137642,0.43660107,0.5285668754532019,0.555336393314104,0.78053,0.48,0.013444708143853863,0.82935460378127323633,0.11828710713703118,0.06348541613138525,0.050712160492202,20
0.7057955460082881,0.53421574822111184133,0.4741693,0.4637218618470305,0.49673347500784404,0.78311,0.43,0.005977524796036534,0.061948348568572564332,0.09544434752322843,0.1020087827928203,0.08201151406658291,20
0.7201889372551259,0.7060562765501301463,0.32062882,0.5691246908872725,0.424831537231659,0.78188,0.45,0.003805787222591996,0.0057492370378023419097,0.21275264934492635,0.04526482155565225,0.1274836047652354,20
0.6841190515739068,0.69189193881882948833,0.32454777,0.30695292152330206,0.47091120150689525,0.78108,0.4,0.009401425519687496,0.007954510257256203892,0.20842167918437185,0.22479648654484888,0.09620468355865622,20
0.3761460557857043,0.65749055926151789286,0.34440777,0.31302588502298456,0.4073698668046088,0.7819,0.45,0.1646362632454578,0.01547770894486190027,0.19139945388508575,0.21984293569547952,0.14027282067135752,20
0.43616615702059625,0.59402598979459464434,0.41276932,0.388796544742887,0.4204463825818655,0.78142,0.43,0.11920021609204678,0.035116515060863544295,0.13590332561411309,0.1541531776180342,0.13030195247193374,20
0.5208091716141383,1.0575296869562331725,0.26815784,0.2376086869444407,0.3718043377931408,0.7809,0.37,0.06764723901044378,0.07652398370550357598,0.26290452287211197,0.29516545084163376,0.16735926083646865,20
0.8511567206034811,1.0063916891128439346,0.45475903,0.331917054273992,0.34155072842155393,0.78247,0.41,0.004717865587260679,0.050140922855149129556,0.10739447885279588,0.20299795690238312,0.19440980404926747,20
0.6575598841722937,-1.7607871570385023041,0.5896271,0.5045413185625159,0.5135113108852523,0.78073,0.45,0.01517087743301059,6.4593094595210711617,0.03652032331265742,0.07628018775417607,0.07140582781220423,20
0.19684806511246286,-0.01836512912018016877,0.45648047,0.283331386810858,0.3569538882925627,0.78251,0.36,0.34299990197621383,0.641400972443265327,0.10629525229329786,0.24917928786543508,0.1810980042115529,20
0.5653066220969419,0.73531955437163232236,0.49547607,0.47235864679708756,0.470132554776297,0.78372,0.41,0.04770440364702404,0.0023426031370245782755,0.08308456487314923,0.09694589226834878,0.0983370858019289,20
0.08647794217674226,1.0902492773520422453,0.4364018,0.2392233532013899,0.3546009318090967,0.78302,0.38,0.4851708383166585,0.09438982886225806557,0.12014416671179935,0.2957147930694124,0.18354289798956192,20
0.6635493951917087,0.7394994588229014676,0.3393156,0.1890087913063269,0.33169534696587866,0.78312,0.37,0.014297129534220573,0.0019027516125829564177,0.1969623514572476,0.35296812829545726,0.20378421736697688,20
