Estimator,MSE,n_reco
ips_estimator,0.06615196055649343,5
Direct,0.14562366634519505,5
doubly robust estimator,0.11348634519845613,5
cmebis,0.008233135914719629,5
dr_bis,0.00823341897500943,5
ips_estimator,0.07854311733572943,5
Direct,0.13968024637841076,5
doubly robust estimator,0.09957915275281506,5
cmebis,0.04755047499808568,5
dr_bis,0.04954999728020669,5
ips_estimator,0.03616043970013753,5
Direct,0.10969408580203693,5
doubly robust estimator,0.08560835466940511,5
cmebis,0.037677842722175135,5
dr_bis,0.03512140531263318,5
ips_estimator,0.0020339709056462142,5
Direct,0.11704206670328032,5
doubly robust estimator,0.08033420741915444,5
cmebis,0.01647424747804875,5
dr_bis,0.010856417556252964,5
ips_estimator,0.04389632908926869,5
Direct,0.12854100381547343,5
doubly robust estimator,0.09078775901108783,5
cmebis,0.0042300061100201975,5
dr_bis,0.004230123387638822,5
ips_estimator,0.024776188338606762,5
Direct,0.10427602809180364,5
doubly robust estimator,0.07581216667546317,5
cmebis,0.018993722951079317,5
dr_bis,0.015622822346833551,5
ips_estimator,0.03449891861596914,5
Direct,0.10556622107223412,5
doubly robust estimator,0.08684843755330446,5
cmebis,0.026662060279723315,5
dr_bis,0.022251763008624307,5
ips_estimator,0.026513910051749943,5
Direct,0.11165673339276577,5
doubly robust estimator,0.06904471573940973,5
cmebis,0.03308480276491886,5
dr_bis,0.02769988677048493,5
ips_estimator,0.004812391641066101,5
Direct,0.11628333545665373,5
doubly robust estimator,0.053423053486139516,5
cmebis,0.012918034774562959,5
dr_bis,0.009707550326679672,5
ips_estimator,0.04584965415205523,5
Direct,0.12636535815336908,5
doubly robust estimator,0.07729726885613016,5
cmebis,0.023398537661718476,5
dr_bis,0.023614746533884803,5
ips_estimator,0.03706518784477735,5
Direct,0.12577431337712114,5
doubly robust estimator,0.0835416498426048,5
cmebis,0.02555938616117532,5
dr_bis,0.022436428668816708,5
ips_estimator,0.08500669328403695,5
Direct,0.1336770385169698,5
doubly robust estimator,0.11326095663022794,5
cmebis,0.009637567392467537,5
dr_bis,0.009637907471546543,5
ips_estimator,0.007371672735600501,5
Direct,0.13367325378399977,5
doubly robust estimator,0.08761251246997384,5
cmebis,0.00010304414681633468,5
dr_bis,0.00010309592219416965,5
ips_estimator,0.032786938037592354,5
Direct,0.1442170630956505,5
doubly robust estimator,0.1029411462940727,5
cmebis,0.043701153441383436,5
dr_bis,0.04116096163196235,5
ips_estimator,0.061836692934399785,5
Direct,0.09957179253915338,5
doubly robust estimator,0.07783543838564538,5
cmebis,0.026911078478169388,5
dr_bis,0.027754406711536513,5
ips_estimator,0.03931858497605608,5
Direct,0.13099756583209002,5
doubly robust estimator,0.07131825154349525,5
cmebis,8.911494996225193e-07,5
dr_bis,8.791266047087361e-07,5
ips_estimator,0.04194239345828155,5
Direct,0.14303757238038053,5
doubly robust estimator,0.10146686736087272,5
cmebis,0.016806914932449606,5
dr_bis,0.016806795146914404,5
ips_estimator,0.03785711685429205,5
Direct,0.14694855530487955,5
doubly robust estimator,0.09538455864997326,5
cmebis,0.0036061769520701462,5
dr_bis,0.0036064122809270995,5
ips_estimator,0.051787484050112464,5
Direct,0.10303770959381535,5
doubly robust estimator,0.09026935877582289,5
cmebis,0.023874940553997588,5
dr_bis,0.024501234190250017,5
ips_estimator,0.014226760593366299,5
Direct,0.10185305058051697,5
doubly robust estimator,0.05286449955312706,5
cmebis,6.299480767305944e-05,5
dr_bis,6.288592989953586e-05,5
