Estimator,MSE,context_dim
doubly robust estimator,0.10505455537991037,20
cmebis,0.008596685209411939,20
dr_bis,0.008594031072894087,20
ips_estimator,0.03178695530832034,20
Direct,0.2089952531658007,20
doubly robust estimator,0.11711548734169458,20
cmebis,0.09855485820734886,20
dr_bis,0.08664397083967801,20
ips_estimator,0.054213055867981835,20
Direct,0.25389076660197485,20
doubly robust estimator,0.15016859569441507,20
cmebis,0.0315747179944387,20
dr_bis,0.030108884932237647,20
ips_estimator,0.07230513097859911,20
Direct,0.2441088146695563,20
doubly robust estimator,0.2030219154156545,20
cmebis,0.09719240330850897,20
dr_bis,0.09225105900892147,20
ips_estimator,0.012425723009880365,25
Direct,0.29717538763994106,25
doubly robust estimator,0.2355047478288761,25
cmebis,0.12468582382402296,25
dr_bis,0.11967017331127586,25
ips_estimator,0.02356419930183499,25
Direct,0.286066031909149,25
doubly robust estimator,0.23726484319889327,25
cmebis,0.14832888707165315,25
dr_bis,0.14216580736928563,25
ips_estimator,0.03454227204401267,25
Direct,0.24749608566110243,25
doubly robust estimator,0.24522378006755638,25
cmebis,0.0012525121381620874,25
dr_bis,0.0012523074012319563,25
ips_estimator,0.07142707696944281,25
Direct,0.2827128018979594,25
doubly robust estimator,0.3006450067610772,25
cmebis,0.0032785503953766137,25
dr_bis,0.0032784160850334726,25
ips_estimator,0.030362211711020243,25
Direct,0.257324995262194,25
doubly robust estimator,0.12591081513657276,25
cmebis,0.02356092146699712,25
dr_bis,0.023230429489379596,25
ips_estimator,0.02447920846873931,25
Direct,0.302192482369178,25
doubly robust estimator,0.225219278023318,25
cmebis,0.11851659433860463,25
dr_bis,0.11307829069954314,25
ips_estimator,0.051023488573034834,25
Direct,0.3135242039136606,25
doubly robust estimator,0.14543156324999798,25
cmebis,0.13115485524976203,25
dr_bis,0.12708658315344012,25
ips_estimator,0.018999804091849464,25
Direct,0.30004677184070516,25
doubly robust estimator,0.16573107599519254,25
cmebis,0.1256027790116704,25
dr_bis,0.11993064879629979,25
ips_estimator,0.07150388756636923,25
Direct,0.2172918109850109,25
doubly robust estimator,0.11767430521373172,25
cmebis,0.02510178408897058,25
dr_bis,0.02487462749820015,25
ips_estimator,0.012725316384929087,25
Direct,0.24347691444711372,25
doubly robust estimator,0.13389760875702147,25
cmebis,0.12523763515632713,25
dr_bis,0.11884502894258077,25
ips_estimator,0.02118401262213246,30
Direct,0.35273036644721206,30
doubly robust estimator,0.2713459112057117,30
cmebis,0.18002973714626636,30
dr_bis,0.1713068144139603,30
ips_estimator,0.0763254751593274,30
Direct,0.3247865759457479,30
doubly robust estimator,0.19286679852954894,30
cmebis,0.18939440050022868,30
dr_bis,0.18557416644281727,30
ips_estimator,0.06680407216536634,30
Direct,0.3696149358444433,30
doubly robust estimator,0.19762499651751292,30
cmebis,0.17618798902688704,30
dr_bis,0.1714918548122323,30
ips_estimator,0.06353783735080483,30
Direct,0.2697537120663246,30
doubly robust estimator,0.15619229095053513,30
cmebis,0.17657321215445332,30
dr_bis,0.17020830854155436,30
ips_estimator,0.02125269300213106,30
Direct,0.3502162621874471,30
doubly robust estimator,0.24552604301136452,30
cmebis,0.018150230507225532,30
dr_bis,0.01814882129696896,30
ips_estimator,0.06581503250384518,30
Direct,0.28163518326571735,30
doubly robust estimator,0.20306155652681762,30
cmebis,0.16282017163552184,30
dr_bis,0.15767235966667686,30
ips_estimator,0.0012143852957753685,30
Direct,0.296831396204455,30
doubly robust estimator,0.24954777287017446,30
cmebis,0.02031199362924813,30
dr_bis,0.020309970676643137,30
ips_estimator,0.14996119177319572,30
Direct,0.3259631068931121,30
doubly robust estimator,0.2768709561804246,30
cmebis,0.1751347999624345,30
dr_bis,0.17362298471857407,30
ips_estimator,0.06938770771526803,30
Direct,0.2452167062378742,30
doubly robust estimator,0.29602403409612504,30
cmebis,0.17746811311500155,30
dr_bis,0.17224450067388092,30
ips_estimator,0.04730924224128635,30
Direct,0.3933037273380055,30
doubly robust estimator,0.2570416426299904,30
cmebis,0.18964860396023833,30
dr_bis,0.1846770747408955,30
