Estimator,MSE,n_reco
doubly robust estimator,0.05131519851079127,3
cmebis,0.008867994453569597,3
dr_bis,0.004449992132738244,3
ips_estimator,0.019974055062868003,3
Direct,0.12696696229057977,3
doubly robust estimator,0.0419925624805302,3
cmebis,0.00013489582942575096,3
dr_bis,0.0001329648508116467,3
ips_estimator,0.0036017182793633435,3
Direct,0.12498798921576017,3
doubly robust estimator,0.0458601602716273,3
cmebis,0.00027148953385436564,3
dr_bis,6.928751735680754e-05,3
ips_estimator,0.011707067224736706,3
Direct,0.12636891542338946,3
doubly robust estimator,0.021213201816328547,3
cmebis,0.001445783265340566,3
dr_bis,0.001446324851544699,3
ips_estimator,0.018033223692410286,3
Direct,0.17440095901371294,3
doubly robust estimator,0.05992755436828508,3
cmebis,0.013059986834743586,3
dr_bis,0.009835149075435742,3
ips_estimator,0.004740071752812378,3
Direct,0.11924311382926218,3
doubly robust estimator,0.026525983258345563,3
cmebis,0.0065847465385219526,3
dr_bis,0.004152683136042563,3
ips_estimator,0.01851589152531578,3
Direct,0.11817385681896832,3
doubly robust estimator,0.05319264610237218,3
cmebis,0.001065156904808611,3
dr_bis,0.0010957625563484494,3
ips_estimator,0.016271375783313963,3
Direct,0.16439961219632934,3
doubly robust estimator,0.09692587859974632,3
cmebis,0.00019445215731823544,3
dr_bis,0.0001256162330117024,3
ips_estimator,0.004117621516527756,3
Direct,0.12753103945125993,3
doubly robust estimator,0.04936945263525294,3
cmebis,0.0038878498539497344,3
dr_bis,0.002059752286458584,3
ips_estimator,0.0019966188714638793,3
Direct,0.12340529306701065,3
doubly robust estimator,0.04157968384873394,3
cmebis,0.0026210916125164185,3
dr_bis,0.0036012644677432923,3
ips_estimator,0.00928993877708656,3
Direct,0.1518169790146549,3
doubly robust estimator,0.04661644355583239,3
cmebis,0.015431156998021322,3
dr_bis,0.010905454110775264,3
ips_estimator,0.004365670978417726,3
Direct,0.05540823114373339,3
doubly robust estimator,0.022630196198849727,3
cmebis,0.006176555541792072,3
dr_bis,0.0033488532759159326,3
ips_estimator,0.005698158113905614,3
Direct,0.13781355034904644,3
doubly robust estimator,0.06620295282842213,3
cmebis,0.00016551462334023822,3
dr_bis,0.00016535167021830254,3
ips_estimator,0.01797388684242425,3
Direct,0.1040523817278877,3
doubly robust estimator,0.07620937092731368,3
cmebis,0.015048115608218667,3
dr_bis,0.011032309319776796,3
ips_estimator,0.03520656113479388,3
Direct,0.1940148712989734,3
doubly robust estimator,0.04159349676046605,3
cmebis,0.012863917582806092,3
dr_bis,0.012173340735504705,3
ips_estimator,0.01328861527971202,3
Direct,0.13232057630330143,3
doubly robust estimator,0.08707872410798317,3
cmebis,0.0036717070351029025,3
dr_bis,0.003670937203667653,3
ips_estimator,0.005077688964593889,3
Direct,0.13287547194423824,3
doubly robust estimator,0.015210272808062931,3
cmebis,3.9648731665205435e-06,3
dr_bis,4.0968226370706664e-06,3
ips_estimator,0.027670070237678056,3
Direct,0.12597191857069995,3
doubly robust estimator,0.10134521803526376,3
cmebis,0.0030192614325805006,3
dr_bis,0.0030908884457195125,3
ips_estimator,0.0056254451500039266,3
Direct,0.0964293288012857,3
doubly robust estimator,0.05331709524159312,3
cmebis,0.009368383690790212,3
dr_bis,0.009366028488285025,3
ips_estimator,0.014936252525745309,3
Direct,0.13629251889076346,3
doubly robust estimator,0.04521875714788574,3
cmebis,0.016210660395928552,3
dr_bis,0.012308797423820218,3
ips_estimator,0.005976270040563101,3
Direct,0.16688607127244737,3
doubly robust estimator,0.07131679422799435,3
cmebis,0.010949499392997178,3
dr_bis,0.005948474994029524,3
ips_estimator,0.008375841442815972,3
Direct,0.10496700918757196,3
doubly robust estimator,0.056275307547559925,3
cmebis,0.006572634017503882,3
dr_bis,0.0038584863942240305,3
ips_estimator,0.013609925172713687,3
Direct,0.1456313611690782,3
doubly robust estimator,0.0614138347232047,3
cmebis,0.009005618214693012,3
dr_bis,0.006609166354780238,3
ips_estimator,0.013868621076536244,3
Direct,0.10805591440364155,3
doubly robust estimator,0.03999279635096906,3
cmebis,0.0007011408657524433,3
dr_bis,0.0007010528575924937,3
ips_estimator,0.018140391615419967,4
Direct,0.22147113750220412,4
doubly robust estimator,0.1291907786170451,4
cmebis,0.02757356066148043,4
dr_bis,0.021221514447412604,4
ips_estimator,0.008620257219753118,4
Direct,0.14942759746014572,4
doubly robust estimator,0.055768127054999256,4
cmebis,0.016730131953739895,4
dr_bis,0.012120422320978742,4
ips_estimator,0.031829230768801585,4
Direct,0.16560407288234538,4
doubly robust estimator,0.11044456896640345,4
cmebis,9.028434394978085e-05,4
dr_bis,9.026120703071397e-05,4
ips_estimator,0.02711260260823754,4
Direct,0.1366239115734452,4
doubly robust estimator,0.13570779718186757,4
cmebis,0.027297022737609544,4
dr_bis,0.02544957384243428,4
ips_estimator,0.028716748819511324,4
Direct,0.19164975419615865,4
doubly robust estimator,0.12276884020910592,4
cmebis,0.030839779880410922,4
dr_bis,0.026396724922870814,4
ips_estimator,0.021224453892596865,4
Direct,0.17476014877446347,4
doubly robust estimator,0.10169273204191792,4
cmebis,0.02121873209535102,4
dr_bis,0.01781844861765473,4
ips_estimator,0.04315081804688043,4
Direct,0.20157601381907125,4
doubly robust estimator,0.158798947464662,4
cmebis,0.012383003537056247,4
dr_bis,0.012383243880986205,4
ips_estimator,0.027575011339104012,4
Direct,0.15155880149875928,4
doubly robust estimator,0.10617959064868276,4
cmebis,0.007567928732283409,4
dr_bis,0.006443238331708894,4
ips_estimator,0.05153076171689772,4
Direct,0.2054457229457887,4
doubly robust estimator,0.10745078746152495,4
cmebis,0.02587782435660125,4
dr_bis,0.025454282281552117,4
ips_estimator,0.05093472623944354,4
Direct,0.1524705136629746,4
doubly robust estimator,0.12234538329749982,4
cmebis,0.026292316867126474,4
dr_bis,0.023526490261499677,4
ips_estimator,0.02274961236175313,4
Direct,0.173814945145868,4
doubly robust estimator,0.13173976359028347,4
cmebis,6.803635255098013e-06,4
dr_bis,7.123272102256821e-05,4
ips_estimator,0.01123288499713873,4
Direct,0.1956877626968135,4
doubly robust estimator,0.0955523698502859,4
cmebis,0.00038524256266744746,4
dr_bis,0.00038534223092053627,4
ips_estimator,0.032241784713440136,4
Direct,0.2075619925449961,4
doubly robust estimator,0.13351830229438247,4
cmebis,0.0396948759452455,4
dr_bis,0.034590097239881136,4
ips_estimator,0.012775799184264962,4
