Estimator,MSE,context_dim
ips_estimator,0.0019463171867579831,20
Direct,0.32576516065431493,20
doubly robust estimator,0.254737663413318,20
cmebis,0.158129913761433,20
dr_bis,0.15060713023080807,20
ips_estimator,0.011453240893819583,20
Direct,0.25658076584124445,20
doubly robust estimator,0.24496715012464887,20
cmebis,0.16102397995003528,20
dr_bis,0.1554807232250521,20
ips_estimator,0.001605714428894603,20
Direct,0.31525601028895517,20
doubly robust estimator,0.3139909211722291,20
cmebis,0.11533026041675809,20
dr_bis,0.11532962495176696,20
ips_estimator,0.03188990509363755,20
Direct,0.3312646385966697,20
doubly robust estimator,0.3486159693402919,20
cmebis,0.07802358700715907,20
dr_bis,0.07802284444615906,20
ips_estimator,0.049434640033409014,20
Direct,0.29704887401153013,20
doubly robust estimator,0.30847399755859906,20
cmebis,0.15032701926688663,20
dr_bis,0.14472674753011838,20
ips_estimator,0.0031537495921909672,20
Direct,0.3393986320914921,20
doubly robust estimator,0.26728300928855175,20
cmebis,0.1395847559090949,20
dr_bis,0.13671412624778323,20
ips_estimator,0.020330025431669056,20
Direct,0.28196966712077937,20
doubly robust estimator,0.3133191521735559,20
cmebis,0.14103680013542721,20
dr_bis,0.13938752768831092,20
ips_estimator,0.12210160954030524,20
Direct,0.2857605225958127,20
doubly robust estimator,0.25226520559465865,20
cmebis,0.13591659087847355,20
dr_bis,0.13585145837487728,20
ips_estimator,0.0977418810729957,20
Direct,0.27470676870184724,20
doubly robust estimator,0.27974271965325953,20
cmebis,0.1272499574292026,20
dr_bis,0.12501089482053254,20
ips_estimator,0.11156695527802751,20
Direct,0.2942210093954682,20
doubly robust estimator,0.2918591314649034,20
cmebis,0.06980725141477975,20
dr_bis,0.06980713248920926,20
ips_estimator,0.0004180448810107445,20
Direct,0.32134138728416106,20
doubly robust estimator,0.2501944030993634,20
cmebis,0.14572506790106257,20
dr_bis,0.1411019651696175,20
ips_estimator,0.13027486207539377,20
Direct,0.25151276841169923,20
doubly robust estimator,0.30571861510962156,20
cmebis,0.14347999048083893,20
dr_bis,0.142231123912415,20
ips_estimator,0.2263838336798088,20
Direct,0.2894684809501335,20
doubly robust estimator,0.3281030448824329,20
cmebis,0.09548968442778669,20
dr_bis,0.09548993383174365,20
ips_estimator,1.0579354218162714e-07,20
Direct,0.3488053893656464,20
doubly robust estimator,0.3376076634108275,20
cmebis,0.1613582312642218,20
dr_bis,0.15705757860112635,20
ips_estimator,0.0011300934418962004,20
Direct,0.3218001864631392,20
doubly robust estimator,0.26863089320015177,20
cmebis,0.1593435491224453,20
dr_bis,0.14793884553503497,20
ips_estimator,0.06878051457652795,20
Direct,0.33641154560458636,20
doubly robust estimator,0.25417863498148546,20
cmebis,0.13559699343474413,20
dr_bis,0.13495989441670156,20
ips_estimator,0.0002893943575624891,20
Direct,0.3227114916333723,20
doubly robust estimator,0.2644068845434529,20
cmebis,0.15704217903866521,20
dr_bis,0.14859200127923616,20
ips_estimator,0.009400087150644894,20
Direct,0.25993494213763424,20
doubly robust estimator,0.2635501074585675,20
cmebis,0.16884948310613368,20
dr_bis,0.16739291128900582,20
ips_estimator,0.02315709312204131,20
Direct,0.3186696098070788,20
doubly robust estimator,0.29446181320245,20
cmebis,0.07325502090822181,20
dr_bis,0.07325468077142572,20
ips_estimator,0.0014586373160985833,20
