Estimator,MSE,n_users
ips_estimator,0.054205752863804274,50
Direct,0.12678751726393245,50
doubly robust estimator,0.10079403097001079,50
cmebis,0.019894937929369978,50
dr_bis,0.018596653884985596,50
ips_estimator,0.03694058073645039,50
Direct,0.10499743360050738,50
doubly robust estimator,0.10733517756724295,50
cmebis,0.005348036136848428,50
dr_bis,0.005348171016577214,50
ips_estimator,0.008372221857111754,50
Direct,0.08834501457528171,50
doubly robust estimator,0.09005449706800799,50
cmebis,0.0033803271996256635,50
dr_bis,0.0033795178703854988,50
ips_estimator,0.027986232908081627,50
Direct,0.07270782196237106,50
doubly robust estimator,0.07156797743962029,50
cmebis,0.003916029182130662,50
dr_bis,0.003916439416509149,50
ips_estimator,0.015398468252425683,50
Direct,0.1207152817706278,50
doubly robust estimator,0.1175204785087158,50
cmebis,4.986956596247292e-05,50
dr_bis,4.981321885367517e-05,50
ips_estimator,0.03275153716105305,50
Direct,0.1259901519597889,50
doubly robust estimator,0.08335137769434807,50
cmebis,0.03329938920932472,50
dr_bis,0.03029428131890123,50
ips_estimator,0.05046882514045869,50
Direct,0.14250808444732696,50
doubly robust estimator,0.13413648288523716,50
cmebis,0.03067850978320077,50
dr_bis,0.02901118012741447,50
ips_estimator,0.028562701690509788,50
Direct,0.1191115585569752,50
doubly robust estimator,0.07263442388459102,50
cmebis,0.003836451852777999,50
dr_bis,0.0038370318602297723,50
ips_estimator,0.05929039983418629,50
Direct,0.10065611495232775,50
doubly robust estimator,0.12286430837111284,50
cmebis,0.028880552070312808,50
dr_bis,0.027896315778939522,50
ips_estimator,0.048352757585017676,50
Direct,0.10801718001352044,50
doubly robust estimator,0.07367814649003088,50
cmebis,0.015167031505849611,50
dr_bis,0.015227890274324756,50
ips_estimator,0.03985765491411095,50
Direct,0.11908660155105992,50
doubly robust estimator,0.08084520828034314,50
cmebis,0.005473785529274138,50
dr_bis,0.005474140818147165,50
ips_estimator,0.03272664036502588,50
Direct,0.10202568525560907,50
doubly robust estimator,0.08363635733999636,50
cmebis,0.023359007941053743,50
dr_bis,0.02244590963873005,50
ips_estimator,0.03711703488496374,50
Direct,0.0875034083835094,50
doubly robust estimator,0.07791312283510551,50
cmebis,0.031031513290179384,50
dr_bis,0.028830297820263057,50
ips_estimator,0.032792885812773606,50
Direct,0.09549409832954832,50
doubly robust estimator,0.040282559634108726,50
cmebis,0.00236173251184053,50
