Estimator,MSE,n_users
ips_estimator,0.016365070243737647,250
Direct,0.12772668579076424,250
doubly robust estimator,0.04606527298148943,250
cmebis,0.02613773855684375,250
dr_bis,0.0201124966583598,250
ips_estimator,0.03007073429426014,250
Direct,0.1359792285036586,250
doubly robust estimator,0.10325227047295647,250
cmebis,0.036148903635273094,250
dr_bis,0.031950573800854545,250
ips_estimator,0.037437651728020584,250
Direct,0.12361413871825032,250
doubly robust estimator,0.08869757126431105,250
cmebis,0.007485376298385447,250
dr_bis,0.007484956423936866,250
ips_estimator,0.03989873804807133,250
Direct,0.09933558207119682,250
doubly robust estimator,0.14720267458089645,250
cmebis,0.009280548866155572,250
dr_bis,0.0092801791846945,250
ips_estimator,0.032166096849276786,250
Direct,0.1481637032497878,250
doubly robust estimator,0.12585456961512728,250
cmebis,0.03572496256040773,250
dr_bis,0.034815824778956846,250
ips_estimator,0.002408376714094538,250
Direct,0.13343223216451633,250
doubly robust estimator,0.06531706336438138,250
cmebis,0.002657740157689893,250
dr_bis,0.0026570396377488914,250
ips_estimator,0.010671195667116808,250
Direct,0.12583940245123462,250
doubly robust estimator,0.07554415136082247,250
cmebis,0.04625859605669621,250
dr_bis,0.036551397729090086,250
ips_estimator,0.030249473329838114,250
Direct,0.102827483029278,250
doubly robust estimator,0.07447658748114379,250
cmebis,0.038477102513997614,250
dr_bis,0.03399047538997739,250
ips_estimator,0.016634298434807872,250
Direct,0.09956900577864881,250
doubly robust estimator,0.0710405254043757,250
cmebis,0.006674555350182198,250
dr_bis,0.006363963641862002,250
ips_estimator,0.016280202335082133,250
Direct,0.11991691532715643,250
doubly robust estimator,0.09090709111039193,250
cmebis,0.021516963450592872,250
dr_bis,0.02151529040860559,250
ips_estimator,0.024452617195890737,250
Direct,0.0903064936641843,250
doubly robust estimator,0.0757728866405729,250
cmebis,0.029086245879994962,250
dr_bis,0.027185923936632432,250
ips_estimator,0.031521780285760394,250
Direct,0.11404867521369828,250
doubly robust estimator,0.07391539731082082,250
cmebis,0.033417055182918515,250
dr_bis,0.029338225227488933,250
ips_estimator,0.02321805370342212,250
Direct,0.16072134552732253,250
doubly robust estimator,0.09813096305175749,250
cmebis,0.054923944635110473,250
dr_bis,0.04845641476758707,250
ips_estimator,0.04143842453680666,250
Direct,0.08721469602135724,250
doubly robust estimator,0.07504851807666245,250
cmebis,0.04327984701954753,250
dr_bis,0.0459588962333941,250
ips_estimator,0.006928424321082295,250
Direct,0.10643865008930578,250
doubly robust estimator,0.07841343830014655,250
cmebis,0.034047489170804184,250
dr_bis,0.029274205441799612,250
ips_estimator,0.017917580086313712,250
Direct,0.11771072873653432,250
doubly robust estimator,0.07802524315372651,250
cmebis,0.028648415532887744,250
dr_bis,0.02476328990600732,250
ips_estimator,0.016428748546587758,250
Direct,0.10137495743846911,250
doubly robust estimator,0.06275816895413999,250
cmebis,0.028455417377013098,250
dr_bis,0.024662035307476914,250
ips_estimator,0.014339030326812873,250
Direct,0.08980302818383738,250
doubly robust estimator,0.0827529144892628,250
cmebis,0.036961654709205996,250
dr_bis,0.030864623402533802,250
ips_estimator,0.03560641390670574,250
Direct,0.10768246637534586,250
doubly robust estimator,0.09018876907889326,250
cmebis,0.04065674254931467,250
dr_bis,0.03641877307007011,250
ips_estimator,0.010946785456472005,250
Direct,0.1301253998104403,250
doubly robust estimator,0.06625714199034678,250
cmebis,0.03097433173775025,250
dr_bis,0.02420038841273249,250
ips_estimator,0.017954573017258717,250
Direct,0.11867328191614235,250
doubly robust estimator,0.08663782996537162,250
cmebis,0.04206498931928223,250
dr_bis,0.03735705730908647,250
ips_estimator,0.03662887246625768,250
Direct,0.12984647106096173,250
doubly robust estimator,0.09125799946427257,250
cmebis,0.0028256013217668637,250
dr_bis,0.0028253770360604754,250
ips_estimator,0.051602553651815174,250
Direct,0.14534590057582106,250
doubly robust estimator,0.11826641468250258,250
cmebis,0.058762077810002804,250
dr_bis,0.056362280337946366,250
ips_estimator,0.04012995278188893,250
Direct,0.12453987322997734,250
doubly robust estimator,0.09747135870102923,250
cmebis,0.048997139157723295,250
dr_bis,0.045622340233354146,250
ips_estimator,0.0364173133659018,250
Direct,0.1538794547923189,250
doubly robust estimator,0.07536483547740477,250
cmebis,0.03815558157025801,250
dr_bis,0.03856911378852496,250
ips_estimator,0.018318583757557287,250
Direct,0.1184877739528248,250
doubly robust estimator,0.08639383099018784,250
cmebis,0.03448126013719722,250
dr_bis,0.026826555043534227,250
ips_estimator,0.015601253895866514,250
Direct,0.13676020242869572,250
doubly robust estimator,0.09386088856305057,250
cmebis,0.04428710336979758,250
dr_bis,0.03584230259133496,250
ips_estimator,0.03571816162615561,250
Direct,0.11496037883629642,250
doubly robust estimator,0.07319788960626973,250
cmebis,0.00680192928529174,250
dr_bis,0.006801897049754449,250
ips_estimator,0.008887953396028192,250
Direct,0.14150238376251187,250
doubly robust estimator,0.08869526761847465,250
cmebis,0.03078710736105601,250
dr_bis,0.02227410049985631,250
ips_estimator,0.044258054561783215,250
Direct,0.0842301428730082,250
doubly robust estimator,0.0881537881922939,250
