ips_estimator,slate_estimator,Direct,doubly robust estimator,cmebis,dr_bis,actual_value,null_reward,ips_estimator_square_error,slate_estimator_square_error,Direct_square_error,doubly robust estimator_square_error,cmebis_square_error,dr_bis_square_error,n_reco
0.6388914523797629,0.65064573791222568566,0.42204696,0.41683103876526945,0.7124798245445332,0.7127519615798861,0.87598,0.355,0.056210979412673445,0.050775529670641757207,0.20605520534820054,0.21081776860293208,0.02673230737396843,0.026643392526478182,2
0.8191928037053869,0.9396181005796624408,0.40833193,0.39656838974271275,0.8830415136891479,0.8830415276047164,0.87464,0.368,0.0030743915769333493,0.0042221535549407350485,0.217443215552713,0.22855246453399553,7.058543226893917e-05,7.058566609281276e-05,2
0.7455551421650146,0.9314240644964195681,0.457546,0.49141942480264245,0.8830367062325608,0.8832252189626575,0.8776,0.375,0.017435844480661513,0.002897029918914729215,0.1764453665181477,0.14913543665976198,2.9557774659165033e-05,3.164308837784086e-05,2
0.7741053341599512,1.382652820304522745,0.43140155,0.46188914526071995,0.7458109062287679,0.7457817337221118,0.8757,0.367,0.010321476127151187,0.25700116201470968313,0.1974011119883554,0.17123942350005356,0.016871176680711936,0.016878755912652282,2
0.9173050662524729,0.84956648999686612544,0.4373014,0.47571000297585264,0.8105835738538547,0.810766255672144,0.87557,0.395,0.0017418157550983038,0.00067618253248307932934,0.19207936809191678,0.1598880172201511,0.004223235583248391,0.004199525278910123,2
0.8874796453991961,0.69552624409626839785,0.45410272,0.39073736950213106,0.7995155877480299,0.8018014502534329,0.87768,0.385,9.603304994998506e-05,0.03317999078983625144,0.17941770807384258,0.23711312539618415,0.006109675342695938,0.005757554311642267,2
0.6908664089656227,0.7831369413393624024,0.38970765,0.46888848086577395,0.7108410550182591,0.711573896419721,0.87649,0.371,0.03445611754849776,0.008714793561296448748,0.2369570516815696,0.16613899840052884,0.027439572973563815,0.027197321220101302,2
0.8376799900333278,0.8710803949478230779,0.43512487,0.5119118694148505,0.7486818191711361,0.7498905702514376,0.87731,0.374,0.0015705376899585385,3.8807979106108807655e-05,0.19552768555394195,0.13351579383512202,0.016545208903342927,0.016235711077448846,2
0.7587825472837545,1.7084440523595423311,0.38924968,0.39306393684465535,0.899649172960234,0.8996491573864314,0.8753,0.387,0.013576316787482499,0.69412901198207987985,0.2362449112133462,0.2325516206075655,0.0005928822238473895,0.0005928814654292066,2
0.8897219414144194,1.2761360280148841273,0.4532019,0.5315353446584739,0.8170031142832044,0.8183991750190893,0.87653,0.395,0.000174027318281473,0.15968497762583230837,0.17920668872314835,0.11902131221421844,0.00354345012314045,0.003379192812961273,2
0.7895473523431066,1.0796361251903248135,0.39804408,0.4367373087610378,0.7374294626880363,0.7369234759664912,0.87611,0.364,0.007493091969371485,0.041422883634987785195,0.2285470243032018,0.19304836180656848,0.019232291429134962,0.019372888472530533,2
0.8861038084908691,0.93048811824518262714,0.4453343,0.48939173363523253,0.8983650972036267,0.8983651113639881,0.87609,0.366,0.00010027636049180169,0.0029591552686168655015,0.18555048557641682,0.14953554920951667,0.0004961799554310152,0.0004961805862780707,2
0.7618227342709875,0.85752506895666025244,0.4195358,0.4648346599674153,0.9783848631830324,0.9783848780733552,0.8776,0.376,0.013404375259686394,0.00040300285639484963607,0.2098228242267128,0.1703752259322153,0.010157588646822554,0.010157591648261058,2
0.852453446491179,1.0507180390925021651,0.42157933,0.4559084502955792,0.8612847355725303,0.8612847232571831,0.87421,0.384,0.00047334762058219126,0.031155087864280218285,0.20487452237491544,0.17497618648512006,0.00016706246052001553,0.00016706277887840502,2
0.7969672668350436,1.2330344204345906611,0.4116482,0.48777513141797774,0.8087521643402694,0.8095609955652617,0.87508,0.379,0.006101599082499675,0.12813136710866365742,0.21476902040178453,0.1500050612273375,0.0043993817833042235,0.004292739942119249,2
0.8257553737818846,1.058317583317567534,0.420234,0.4611074990045049,0.7010025150015772,0.7018706486876374,0.8787,0.377,0.0028031334453759594,0.032262476236843341815,0.21019107799523126,0.17438349688767263,0.031576396174764716,0.03126861948555097,2
0.5538309640202038,0.9075837557621017071,0.43929827,0.43617651573207084,0.7230472607430786,0.7225062436742575,0.87641,0.375,0.10405723445365465,0.000971803048315168414,0.19106666263898484,0.19380552067068105,0.023520129792386477,0.023686366211173523,2
0.8768416253289685,0.8031697282748475608,0.43974337,0.5571860859481921,0.8119079380142968,0.8122120417353312,0.87588,0.377,9.247232733137471e-07,0.0052867836143454943754,0.19021516018674287,0.10156581085366113,0.004092424714702647,0.004053608909591603,2
0.8833046734010565,0.9970102636978892541,0.43326658,0.5039312740513952,0.7899962996465228,0.7919291096970947,0.87592,0.365,5.453340124027017e-05,0.014662851962424335722,0.19594205014489158,0.13837561223286626,0.0073828822824341354,0.007054469653874671,2
0.8909134395273103,0.9826182892513201095,0.42355576,0.520407867062599,0.7966781238281696,0.7988538490599535,0.8759,0.374,0.00022540336644020237,0.011388793260728419243,0.20461531003566102,0.1263746565803828,0.00627610566418483,0.0059361093746764316,2
0.8384619950838118,0.980842342944226675,0.42045859,0.5103302373800607,0.7742520202559895,0.7749578133604043,0.8764,0.38,0.0014392922170207163,0.010908202999679466466,0.20788257389042641,0.1340070711046187,0.010434209765782772,0.010290517230222567,2
0.8071680220495712,1.2963690593587096078,0.44065776,0.5759596802838081,0.9793404959959996,0.9793404939496497,0.87644,0.394,0.004798606929164698,0.17634041489389065682,0.1899061566263937,0.09028842253674492,0.010588512076222729,0.0105885116550819,2
