Method,logistic-linear,logistic-nonlinear,logistic-quadratic,uniform-linear,uniform-nonlinear,uniform-quadratic
Plug-in,-2.90e-04 ± 7.6e-04,7.70e-04 ± 1.5e-03,1.66e-04 ± 1.5e-03,-1.95e-03 ± 1.3e-04,-1.35e-03 ± 6.3e-05,-2.47e-03 ± 2.5e-04
DR,-2.79e-04 ± 7.8e-04,8.75e-04 ± 1.5e-03,1.31e-04 ± 1.5e-03,-1.94e-03 ± 1.4e-04,-1.35e-03 ± 7.0e-05,-2.44e-03 ± 2.6e-04
