Method,logistic-linear,logistic-nonlinear,logistic-quadratic,uniform-linear,uniform-nonlinear,uniform-quadratic
Plug-in,1.26e-03 ± 7.8e-04,1.94e-03 ± 1.5e-03,2.69e-03 ± 1.5e-03,1.43e-04 ± 1.1e-04,9.14e-05 ± 5.4e-05,4.49e-04 ± 2.6e-04
DR,1.28e-03 ± 7.9e-04,2.05e-03 ± 1.5e-03,2.65e-03 ± 1.5e-03,1.45e-04 ± 1.2e-04,9.55e-05 ± 5.7e-05,4.81e-04 ± 2.7e-04
