Estimator,MSE,n_users
ips_estimator,0.04026659821097938,150
Direct,0.07295727606489112,150
doubly robust estimator,0.08996453024476084,150
cmebis,0.02313965761606439,150
dr_bis,0.023139582608423036,150
ips_estimator,0.0166783204800787,150
Direct,0.11033822233275618,150
doubly robust estimator,0.11466060681402723,150
cmebis,0.028587707923822914,150
dr_bis,0.028587680424611683,150
ips_estimator,0.01251636061482226,150
Direct,0.08706874518440433,150
doubly robust estimator,0.08049780738865499,150
cmebis,0.012360538072450201,150
dr_bis,0.01236053809890281,150
ips_estimator,0.0013939015496386262,150
Direct,0.08557382501489005,150
doubly robust estimator,0.08341714708330206,150
cmebis,0.007168175128216591,150
dr_bis,0.007168175079336492,150
ips_estimator,0.030346472373962114,150
Direct,0.09585295610463455,150
doubly robust estimator,0.08552318292789556,150
cmebis,0.016580717166570072,150
dr_bis,0.01658071717088292,150
ips_estimator,0.011970481866826482,150
Direct,0.0985174847935462,150
doubly robust estimator,0.11295419903392466,150
cmebis,0.022712178799432214,150
dr_bis,0.022712137504620495,150
ips_estimator,0.015818617364566204,150
Direct,0.11556277755966349,150
doubly robust estimator,0.09007681442388535,150
cmebis,0.019607466419617314,150
dr_bis,0.019607224398837157,150
ips_estimator,0.15218315533677357,150
Direct,0.09856640780699533,150
doubly robust estimator,0.11471504654965112,150
cmebis,0.028475762691422157,150
dr_bis,0.028475762712542027,150
ips_estimator,0.11477147205937455,150
Direct,0.12721103837703046,150
doubly robust estimator,0.1028328300132992,150
cmebis,0.048160271547531004,150
dr_bis,0.04816033181547343,150
ips_estimator,0.0557774330496753,150
Direct,0.11458168151687564,150
doubly robust estimator,0.10136430857027412,150
cmebis,0.02061283140666308,150
dr_bis,0.020612831376736942,150
ips_estimator,0.03264575602023744,150
Direct,0.09507132588098786,150
doubly robust estimator,0.09684637671354081,150
cmebis,0.031116599279942966,150
dr_bis,0.031116623345115575,150
ips_estimator,0.013783709170918845,150
Direct,0.12157335545529813,150
doubly robust estimator,0.125011444361642,150
cmebis,0.023954832008971447,150
dr_bis,0.023954832014748614,150
ips_estimator,0.05058398348490674,150
Direct,0.15535549609558771,150
doubly robust estimator,0.1314665348576019,150
cmebis,0.04214912774280184,150
dr_bis,0.04214913607054106,150
ips_estimator,0.0027779867902097766,150
Direct,0.12211381019293373,150
doubly robust estimator,0.1061866885075111,150
cmebis,0.01305931382995974,150
dr_bis,0.013059313792727994,150
ips_estimator,0.12653307485130838,150
Direct,0.1582339248693761,150
doubly robust estimator,0.10235021055828186,150
cmebis,0.009205350175165758,150
dr_bis,0.00920535016820701,150
ips_estimator,0.0001472517378646461,150
Direct,0.08664831722756383,150
doubly robust estimator,0.09912909277785699,150
cmebis,0.01580514484580732,150
dr_bis,0.015804984049961505,150
ips_estimator,0.013756810497036956,150
Direct,0.12508633242623451,150
doubly robust estimator,0.12985160487004507,150
cmebis,0.03632559681872419,150
dr_bis,0.03632555876618181,150
ips_estimator,0.0002585715274115152,150
Direct,0.1274749077305238,150
doubly robust estimator,0.12255448063525039,150
cmebis,0.0027143752765669293,150
dr_bis,0.002714375273966712,150
