Estimator,MSE,n_reco
doubly robust estimator,0.09864489185641988,3
cmebis,0.018589987624389483,3
dr_bis,0.01858664641461615,3
ips_estimator,0.0005307727788780056,3
Direct,0.10220391857246458,3
doubly robust estimator,0.06076645033173871,3
cmebis,0.0052591545650049944,3
dr_bis,0.005259160644870171,3
ips_estimator,0.003729084487299982,3
Direct,0.09105720040945475,3
doubly robust estimator,0.09932427100977935,3
cmebis,0.014272649937991336,3
dr_bis,0.014249315547801093,3
ips_estimator,0.08225196036404063,3
Direct,0.09762482806519672,3
doubly robust estimator,0.13263525636264623,3
cmebis,0.019490047733319107,3
dr_bis,0.019504280419723782,3
ips_estimator,0.01258465794783349,3
Direct,0.09202777484888187,3
doubly robust estimator,0.10615509535626286,3
cmebis,0.0024794076763385905,3
dr_bis,0.0024794015744723976,3
ips_estimator,0.002405955389505452,3
Direct,0.10017835929266929,3
doubly robust estimator,0.07811058794273053,3
cmebis,0.005820793923050965,3
dr_bis,0.00582079834655466,3
ips_estimator,0.015247320275718524,3
Direct,0.10104740814401456,3
doubly robust estimator,0.06254861687788568,3
cmebis,0.024008954209782607,3
dr_bis,0.02399797519881673,3
ips_estimator,0.012135730596962909,3
Direct,0.09026611104919804,3
doubly robust estimator,0.08342726587786711,3
cmebis,0.010133286678945511,3
dr_bis,0.010062783778747987,3
ips_estimator,0.01563155224608257,3
Direct,0.1254386323848078,3
doubly robust estimator,0.14070561059234415,3
cmebis,0.0009231155662467335,3
dr_bis,0.0009231208808942417,3
ips_estimator,0.010249409998008097,3
Direct,0.11316750591416791,3
doubly robust estimator,0.058300803276691515,3
cmebis,2.9940043529220015e-07,3
dr_bis,2.993826332564735e-07,3
ips_estimator,0.002919937489270893,3
Direct,0.11352933676232023,3
doubly robust estimator,0.07858304381443186,3
cmebis,9.969021299906182e-06,3
dr_bis,9.96951493625414e-06,3
ips_estimator,0.009031729217033383,3
Direct,0.09765911953769049,3
doubly robust estimator,0.12423548126592111,3
cmebis,0.017309905832137002,3
dr_bis,0.017309898073584185,3
ips_estimator,0.0023189654131022044,3
Direct,0.1293600101533663,3
doubly robust estimator,0.08624643642346054,3
cmebis,0.005500417840933345,3
dr_bis,0.005500412502083708,3
ips_estimator,0.0035061960301954933,3
Direct,0.09674065634592223,3
doubly robust estimator,0.03904121194276063,3
cmebis,0.01774675579530025,3
dr_bis,0.017662646326569054,3
ips_estimator,0.011893625537026878,3
Direct,0.14793278199989857,3
doubly robust estimator,0.1166185063286077,3
cmebis,0.017395833818161992,3
dr_bis,0.017395113071274546,3
ips_estimator,0.0016020645185497889,3
Direct,0.09263538702006674,3
doubly robust estimator,0.047758971886060334,3
cmebis,0.01580928666786187,3
dr_bis,0.015810994725825093,3
ips_estimator,8.171557970971903e-06,3
Direct,0.09362748592658153,3
doubly robust estimator,0.09226277977155872,3
cmebis,0.014132302621684368,3
dr_bis,0.014119959980648864,3
ips_estimator,0.03156185395704743,3
Direct,0.11954678669718653,3
doubly robust estimator,0.11866763438263077,3
cmebis,0.017607722434744438,3
dr_bis,0.017606766462718457,3
ips_estimator,0.02017373393274307,3
Direct,0.12235338182910704,3
doubly robust estimator,0.13834115062433988,3
cmebis,0.0004020645151551117,3
dr_bis,0.00040206364447366435,3
ips_estimator,0.02830581207998178,3
Direct,0.10173946358342605,3
doubly robust estimator,0.10270490695216418,3
cmebis,0.001373976329697048,3
dr_bis,0.0013739772655959376,3
ips_estimator,0.005147918612013806,3
Direct,0.1390418590980227,3
doubly robust estimator,0.12692953784557548,3
cmebis,0.010072133853125166,3
dr_bis,0.010069887033493648,3
ips_estimator,0.006484577114305053,3
Direct,0.11946789917530715,3
doubly robust estimator,0.06885533361172816,3
cmebis,0.006419993906309057,3
dr_bis,0.006414097100422435,3
ips_estimator,0.0011925145001774942,3
Direct,0.08728141008833837,3
doubly robust estimator,0.08372822269585095,3
cmebis,0.016831969131413722,3
dr_bis,0.01679673859837933,3
ips_estimator,0.006787349627865155,3
Direct,0.11703856704316286,3
doubly robust estimator,0.0664784859425362,3
cmebis,0.01861385384289947,3
dr_bis,0.018589237653984885,3
ips_estimator,0.05806303052027954,4
Direct,0.08000438099854844,4
doubly robust estimator,0.10476452049893513,4
cmebis,0.018228173712688887,4
dr_bis,0.01822784453751342,4
ips_estimator,0.043861510151480966,4
Direct,0.10817658940229508,4
doubly robust estimator,0.08184387367716923,4
cmebis,0.001536258872450154,4
dr_bis,0.001536258689987402,4
ips_estimator,0.034551634563655446,4
Direct,0.12113885723466059,4
doubly robust estimator,0.088819437401741,4
cmebis,0.0015911030612464415,4
dr_bis,0.001591099877612848,4
ips_estimator,0.10146407031005215,4
Direct,0.10202536312285908,4
doubly robust estimator,0.09203152734636262,4
cmebis,0.021954614409762232,4
dr_bis,0.021955685694732288,4
ips_estimator,0.10881206131066225,4
Direct,0.11382715718323372,4
doubly robust estimator,0.07220811350822297,4
cmebis,0.00026890386663328,4
dr_bis,0.0002689038705888158,4
ips_estimator,0.021519880820059952,4
Direct,0.12234737318145943,4
doubly robust estimator,0.09522391237874937,4
cmebis,0.002398805271125307,4
dr_bis,0.002398805275085733,4
ips_estimator,0.003239471082384629,4
Direct,0.1467369203697174,4
doubly robust estimator,0.07290736996088949,4
cmebis,0.03560883343280718,4
dr_bis,0.03560736115235301,4
ips_estimator,0.00886395441587387,4
Direct,0.12317867036011884,4
doubly robust estimator,0.09557261983616229,4
cmebis,0.0034616161492373215,4
dr_bis,0.003461616029212669,4
ips_estimator,0.025468585079240814,4
Direct,0.11920800804800737,4
doubly robust estimator,0.09827218420849339,4
cmebis,0.026795000836671547,4
dr_bis,0.026794147536822886,4
ips_estimator,0.0727278279974126,4
Direct,0.09489003757589536,4
doubly robust estimator,0.0866813696628321,4
cmebis,0.01653585609033099,4
dr_bis,0.016536397621187752,4
ips_estimator,0.027458583319222466,4
Direct,0.12879670848219144,4
doubly robust estimator,0.09492648324069874,4
cmebis,0.021011213116707304,4
dr_bis,0.021010707808308618,4
ips_estimator,0.020222078912444656,4
Direct,0.09554573094563384,4
doubly robust estimator,0.08968527855180103,4
cmebis,0.0021442865444791775,4
dr_bis,0.0021442867378298246,4
ips_estimator,0.012084223900278421,4
Direct,0.07805952847045101,4
doubly robust estimator,0.12205181631723547,4
cmebis,0.006286405230554117,4
dr_bis,0.006286405098018038,4
ips_estimator,0.13829475536070526,4
Direct,0.16721270346216513,4
doubly robust estimator,0.16826538836864588,4
cmebis,0.012377167435703277,4
dr_bis,0.01237716894992259,4
ips_estimator,0.05010413433690494,4
Direct,0.15214041822451446,4
doubly robust estimator,0.10488578255397504,4
cmebis,0.0196426460991309,4
dr_bis,0.019642646213875736,4
ips_estimator,0.05032740745622783,4
Direct,0.10726119452691327,4
doubly robust estimator,0.1156730595808057,4
cmebis,0.0012164789273770005,4
dr_bis,0.0012164789518877676,4
ips_estimator,0.05293143087404513,4
Direct,0.126181115116652,4
doubly robust estimator,0.12459242682542207,4
cmebis,0.02835391725077809,4
