Estimator,MSE,n_users
dr_bis,0.02074770065769962,100
ips_estimator,0.06234891096891993,100
Direct,0.12165450515345289,100
doubly robust estimator,0.10693273443390243,100
cmebis,0.0006920623347881213,100
dr_bis,0.0006920703546821018,100
ips_estimator,0.006130614730495408,100
Direct,0.12593366239510204,100
doubly robust estimator,0.12876669238004745,100
cmebis,0.01681208581693479,100
dr_bis,0.016812085793238757,100
ips_estimator,0.16162300491981368,100
Direct,0.12239066259272431,100
doubly robust estimator,0.11435985819530867,100
cmebis,0.009420036481579859,100
dr_bis,0.00942003648341794,100
ips_estimator,0.004262715467695176,100
Direct,0.11329575908695869,100
doubly robust estimator,0.09075423182053391,100
cmebis,0.03186376600832052,100
dr_bis,0.03186367667800739,100
ips_estimator,0.17466171113757817,100
Direct,0.10877566222312826,100
doubly robust estimator,0.11014371898521821,100
cmebis,0.005274814518423821,100
dr_bis,0.005274814540831413,100
ips_estimator,0.10898046296478214,100
Direct,0.19049862489532474,100
doubly robust estimator,0.1521059077159438,100
cmebis,0.06652318747136439,100
dr_bis,0.06652318271515774,100
ips_estimator,0.04452888257722875,100
Direct,0.1692124207567438,100
doubly robust estimator,0.12291261244872236,100
cmebis,0.008140025140938246,100
dr_bis,0.008140025136500062,100
ips_estimator,0.021883562695137613,100
Direct,0.15922132515258403,100
doubly robust estimator,0.11861935030940243,100
cmebis,0.003911466751627647,100
dr_bis,0.0039114667441378734,100
ips_estimator,0.02176306224630276,100
Direct,0.15305114646143977,100
doubly robust estimator,0.13228267231035562,100
cmebis,0.04038457857575978,100
dr_bis,0.040384504627441115,100
ips_estimator,0.0008144911856825062,100
Direct,0.19755418495435795,100
doubly robust estimator,0.12230449389477491,100
cmebis,0.002682511101046852,100
dr_bis,0.0026825094572499072,100
ips_estimator,0.08724297704081546,100
Direct,0.14842140831613368,100
doubly robust estimator,0.13144895665413484,100
cmebis,0.007078281820245137,100
dr_bis,0.0070782818288484895,100
ips_estimator,0.015404051386606665,100
Direct,0.16289334116961846,100
doubly robust estimator,0.10027278848505751,100
cmebis,0.03415760178690283,100
dr_bis,0.03415752624616136,100
ips_estimator,0.031119999229060495,100
Direct,0.13194072914277014,100
doubly robust estimator,0.14687479066961942,100
cmebis,0.04599182301856758,100
dr_bis,0.045991782622564516,100
ips_estimator,0.15086795201061914,100
Direct,0.13692209871773872,100
doubly robust estimator,0.11304483442059478,100
cmebis,0.006384324238794964,100
dr_bis,0.006384324269158494,100
ips_estimator,0.06332545050988911,100
Direct,0.11324983823262327,100
doubly robust estimator,0.14999319588425583,100
cmebis,0.04267890773192515,100
dr_bis,0.04267889746161889,100
ips_estimator,0.11347438073959491,100
Direct,0.1754504451908385,100
doubly robust estimator,0.10345677124621502,100
cmebis,0.014470748696362194,100
dr_bis,0.01447074869794606,100
ips_estimator,0.04985935337755731,100
Direct,0.1463966693226725,100
doubly robust estimator,0.13381233292955147,100
cmebis,0.02410111355168623,100
dr_bis,0.024101113446873695,100
ips_estimator,0.025447943408567,100
Direct,0.1599352610284273,100
doubly robust estimator,0.11916832367889195,100
cmebis,0.00027190391117737746,100
dr_bis,0.00027190391953257176,100
ips_estimator,0.07144449940679938,100
Direct,0.1683188932909329,100
doubly robust estimator,0.09954289103315712,100
cmebis,0.030817732828418813,100
dr_bis,0.030817771455726287,100
ips_estimator,0.0001179777996760017,100
Direct,0.1421021128911782,100
doubly robust estimator,0.09873651948300831,100
cmebis,0.027858035154448926,100
dr_bis,0.02785779272020427,100
ips_estimator,0.00047468593614448666,100
Direct,0.16793929762127408,100
doubly robust estimator,0.13721556588870928,100
cmebis,0.04295660158019118,100
dr_bis,0.042956460145630204,100
ips_estimator,0.0024321045410691912,100
Direct,0.13300942428853169,100
doubly robust estimator,0.13587272915743331,100
cmebis,0.00033801026946895857,100
dr_bis,0.0003380102651200002,100
ips_estimator,0.002090590142604496,100
Direct,0.13600289821276862,100
doubly robust estimator,0.1313960211507601,100
cmebis,0.0023936496956793144,100
dr_bis,0.0023936496866067986,100
