Estimator,MSE,context_dim
dr_bis,0.10907454132340731,25
ips_estimator,0.020653043565703254,25
Direct,0.4055121034613714,25
doubly robust estimator,0.35829788872797413,25
cmebis,0.24851096349830504,25
dr_bis,0.24851094641386717,25
ips_estimator,0.009789905691238401,25
Direct,0.44535754154329127,25
doubly robust estimator,0.38836015291274417,25
cmebis,0.27331052802435496,25
dr_bis,0.27331051787641747,25
ips_estimator,0.00035130937567072804,25
Direct,0.4256183696255488,25
doubly robust estimator,0.4169224148342717,25
cmebis,0.28382943876578876,25
dr_bis,0.2838294270604282,25
ips_estimator,0.03442158019457185,25
Direct,0.3955412736710731,25
doubly robust estimator,0.4442943325096107,25
cmebis,0.24210197315464907,25
dr_bis,0.2421019723682132,25
ips_estimator,0.0025420592137717925,25
Direct,0.45124117958976884,25
doubly robust estimator,0.3925852646423955,25
cmebis,0.2939108419473948,25
dr_bis,0.2939107409687546,25
ips_estimator,0.12167629244321256,25
Direct,0.41796667252804487,25
doubly robust estimator,0.37499456179292445,25
cmebis,0.2610305732058047,25
dr_bis,0.2610305702055399,25
ips_estimator,0.006513655984959042,25
Direct,0.43473056664817117,25
doubly robust estimator,0.42761836706223,25
cmebis,0.2532133595520885,25
dr_bis,0.2532126844601273,25
ips_estimator,0.0006356221914384267,25
Direct,0.3881591341317061,25
doubly robust estimator,0.42847525259868785,25
cmebis,0.2797158419794657,25
dr_bis,0.2797157419627024,25
ips_estimator,0.17836526770188812,25
Direct,0.4204439480061171,25
doubly robust estimator,0.3695354694724794,25
cmebis,0.2611142315798017,25
dr_bis,0.26111422916654664,25
ips_estimator,0.005849525532589749,25
Direct,0.4045290102292663,25
doubly robust estimator,0.3689673870109817,25
cmebis,0.1427731966443132,25
dr_bis,0.14277319629426835,25
ips_estimator,0.2657811538273464,25
Direct,0.5331480725080281,25
doubly robust estimator,0.4264137558529589,25
cmebis,0.30942854210146375,25
dr_bis,0.3094285423256324,25
ips_estimator,0.004981356880391542,25
Direct,0.33353400326529037,25
doubly robust estimator,0.3647346258932591,25
cmebis,0.24187594005584828,25
dr_bis,0.24187582585554043,25
ips_estimator,0.3190993989515013,25
Direct,0.43981871668947614,25
doubly robust estimator,0.4226816326689115,25
cmebis,0.2922512589054758,25
dr_bis,0.2922512601714285,25
ips_estimator,0.0022637799071858504,25
Direct,0.39613749427464817,25
doubly robust estimator,0.403884567681426,25
cmebis,0.27456193181049504,25
dr_bis,0.27456186001349786,25
ips_estimator,0.8017776372964284,25
Direct,0.5071767774821899,25
doubly robust estimator,0.4491948206066571,25
cmebis,0.2623045458267428,25
dr_bis,0.2623045630385481,25
ips_estimator,0.023900330657140183,25
Direct,0.4751403160377617,25
doubly robust estimator,0.3752777222485272,25
cmebis,0.15428172848534843,25
dr_bis,0.15428172848505475,25
ips_estimator,0.0046475465421374216,25
Direct,0.4094241442455364,25
doubly robust estimator,0.35796151110632246,25
cmebis,0.21848731453920767,25
dr_bis,0.2184872987758101,25
ips_estimator,0.029691866426706442,25
Direct,0.4113260393990146,25
doubly robust estimator,0.4212655039832333,25
cmebis,0.1976129460799155,25
dr_bis,0.19761294574236063,25
ips_estimator,0.5750319265881456,25
Direct,0.43077713419501656,25
