,times,p_values,stat_values
0,0.6662647724151611,1.0,0.0
1,0.5146939754486084,0.63,0.0
2,0.5243179798126221,0.0,0.0
3,0.4846160411834717,0.61,0.0
4,0.5930299758911133,0.01,0.0
5,0.4469931125640869,0.92,0.0
6,0.48911094665527344,0.47,0.0
7,0.47312498092651367,0.65,0.0
8,0.6209101676940918,0.27,0.0
9,0.579150915145874,0.46,0.0
10,0.5809297561645508,0.11,0.0
11,0.5653548240661621,0.8,0.0
12,0.4847910404205322,0.59,0.0
13,0.49010515213012695,0.51,0.0
14,0.4767310619354248,0.45,0.0
15,0.47246313095092773,0.33,0.0
16,0.47611188888549805,0.94,0.0
17,0.47919511795043945,0.38,0.0
18,0.4724757671356201,0.38,0.0
19,0.47762107849121094,0.51,0.0
20,0.4850490093231201,0.05,0.0
21,0.4804806709289551,0.42,0.0
22,0.4701402187347412,0.74,0.0
23,0.47162604331970215,0.65,0.0
24,0.47165417671203613,0.07,0.0
25,0.47875404357910156,0.39,0.0
26,0.46761012077331543,0.23,0.0
27,0.47297096252441406,0.95,0.0
28,0.5115311145782471,0.81,0.0
29,0.5589487552642822,0.72,0.0
30,0.5061650276184082,0.7,0.0
31,0.5565831661224365,0.04,0.0
32,0.5463519096374512,0.78,0.0
33,0.5206129550933838,0.96,0.0
34,0.5101637840270996,0.43,0.0
35,0.5101711750030518,0.8,0.0
36,0.5103538036346436,0.16,0.0
37,0.5607881546020508,0.01,0.0
38,0.5089371204376221,0.98,0.0
39,0.5110330581665039,0.42,0.0
40,0.5113930702209473,0.01,0.0
41,0.5233559608459473,0.95,0.0
42,0.5313448905944824,0.85,0.0
43,0.505012035369873,1.0,0.0
44,0.5431849956512451,0.41,0.0
45,0.5217320919036865,0.44,0.0
46,0.5177059173583984,0.51,0.0
47,0.513592004776001,0.92,0.0
48,0.5102939605712891,0.43,0.0
49,0.5165998935699463,0.4,0.0
50,0.5195951461791992,0.47,0.0
51,0.5126030445098877,0.16,0.0
52,0.5132510662078857,0.29,0.0
53,0.5376026630401611,0.83,0.0
54,0.5406498908996582,0.45,0.0
55,0.5345368385314941,0.35,0.0
56,0.5404479503631592,0.3,0.0
57,0.5302610397338867,0.56,0.0
58,0.5193278789520264,0.57,0.0
59,0.5185551643371582,0.79,0.0
60,0.5079910755157471,0.59,0.0
61,0.49582886695861816,0.53,0.0
62,0.49289584159851074,0.48,0.0
63,0.4919161796569824,0.44,0.0
64,0.49001193046569824,0.24,0.0
65,0.4930250644683838,0.11,0.0
66,0.4974379539489746,0.93,0.0
67,0.49590206146240234,0.3,0.0
68,0.49187302589416504,0.71,0.0
69,0.495070219039917,0.69,0.0
70,0.49368786811828613,0.66,0.0
71,0.4983091354370117,0.32,0.0
72,0.49074673652648926,0.16,0.0
73,0.5033969879150391,0.77,0.0
74,0.4852128028869629,0.68,0.0
75,0.4886288642883301,0.89,0.0
76,0.49222397804260254,0.82,0.0
77,0.48999500274658203,0.89,0.0
78,0.4963037967681885,0.1,0.0
79,0.48994016647338867,0.05,0.0
80,0.49844884872436523,0.3,0.0
81,0.4952521324157715,0.57,0.0
82,0.48850274085998535,0.26,0.0
83,0.7556860446929932,0.77,0.0
84,0.7102470397949219,0.67,0.0
85,0.6999807357788086,0.48,0.0
86,0.67205810546875,0.11,0.0
87,0.8733980655670166,0.36,0.0
88,0.6712841987609863,0.24,0.0
89,0.9297869205474854,0.52,0.0
90,0.8914809226989746,0.92,0.0
91,0.6915688514709473,0.42,0.0
92,0.9481961727142334,0.5,0.0
93,0.6434147357940674,0.3,0.0
94,0.6504170894622803,0.74,0.0
95,0.6775078773498535,0.27,0.0
96,0.7039797306060791,0.33,0.0
97,0.6662197113037109,0.59,0.0
98,0.6601979732513428,0.4,0.0
99,0.5006487369537354,0.16,0.0
