Method,logistic-nonlinear,logistic-quadratic,uniform-nonlinear,uniform-quadratic
Plug-in,1.32e-01 ± 4.3e-02,2.02e-01 ± 6.2e-02,6.43e-02 ± 2.5e-02,8.45e-02 ± 2.1e-02
DR,1.28e-01 ± 5.2e-02,1.98e-01 ± 8.0e-02,6.10e-02 ± 1.8e-02,8.05e-02 ± 2.0e-02
