p_value,stat,time
0.13,0.0005515158488104618,0.02138805389404297
0.23,0.00022605660193521226,0.021867036819458008
0.21,0.0002915878448095516,0.020331859588623047
0.2,0.0006011281020625037,0.02131199836730957
0.31,0.00019270105236272872,0.021123170852661133
0.39,2.1715912387143543e-05,0.021958351135253906
0.03,0.0012282803315018243,0.019032955169677734
0.32,-3.761239380177528e-05,0.01659393310546875
0.32,0.00016402400848729293,0.02039313316345215
0.27,0.0003228963673570298,0.021935224533081055
0.3,0.0002850644782647488,0.02625107765197754
0.28,0.00027241230147752316,0.027041196823120117
0.3,0.0002652345261052319,0.02712106704711914
0.24,0.0004146587192061235,0.023971080780029297
0.11,0.0005778641835838122,0.019087791442871094
0.15,0.00037496826319795284,0.01663494110107422
0.7,-0.0003966325396551826,0.02477884292602539
0.37,7.442774254183548e-05,0.017505645751953125
0.07,0.001233083095121948,0.025563716888427734
0.17,0.0003841717733764488,0.02100825309753418
0.11,0.0006516647837539677,0.025887012481689453
0.13,0.000868597316548432,0.02109503746032715
0.08,0.000877690146680668,0.023610830307006836
0.28,0.0003173458947026975,0.022533178329467773
0.06,0.0014685500693640066,0.021126985549926758
0.43,4.097538861966288e-05,0.020801782608032227
0.38,9.748220740270208e-06,0.017745018005371094
0.11,0.0004141799959509196,0.02171492576599121
0.11,0.0008344193974251374,0.017840147018432617
0.1,0.000605473467864992,0.022713899612426758
0.33,9.595960998450004e-05,0.020893096923828125
0.2,0.0006773285390402478,0.0200350284576416
0.19,0.0007193723959534187,0.02417898178100586
0.06,0.0009110711055669921,0.021020174026489258
0.3,0.00015328564277401757,0.021749019622802734
0.05,0.0010795311330684745,0.02395176887512207
0.06,0.0010995428668696058,0.024998188018798828
0.29,0.00020615745068285063,0.019562959671020508
0.17,0.0005195910671273521,0.02468109130859375
0.12,0.0005830292846764687,0.019448041915893555
0.13,0.0009110422749711508,0.02281022071838379
0.03,0.0011345220571220005,0.01974320411682129
0.07,0.0008711977162356582,0.024079084396362305
0.04,0.0011285130505584856,0.021318912506103516
0.1,0.0011150021631400886,0.025923728942871094
0.13,0.0010547149779553955,0.01747584342956543
0.04,0.0012927800977119291,0.022853851318359375
0.11,0.0008335120606141333,0.022869110107421875
0.21,0.00048596441973630666,0.021234989166259766
0.1,0.000956733650120542,0.023661136627197266
0.1,0.000914358087496181,0.02546095848083496
0.27,0.00025400012722388843,0.0220029354095459
0.15,0.0005503159312919351,0.025799036026000977
0.2,0.00047755770864243985,0.023111343383789062
0.29,0.00021230109073203107,0.026000022888183594
0.22,0.00010645526705049813,0.02176213264465332
0.35,7.969954059190709e-05,0.024547100067138672
0.35,0.0001076826713261661,0.02031731605529785
0.12,0.0005236472407973841,0.02442193031311035
0.27,0.00013774914133277139,0.022307157516479492
0.13,0.0006687721208756409,0.021007061004638672
0.29,0.0002749140788037424,0.01868891716003418
0.49,-0.0002795017859130583,0.017576932907104492
0.18,0.0005289365132341295,0.025295257568359375
0.16,0.0004780749581832777,0.028265953063964844
0.11,0.0008194081217794552,0.018696069717407227
0.05,0.0014050712316833747,0.02295994758605957
0.21,0.00047703204293199353,0.024148941040039062
0.39,0.00017108812199072287,0.017670869827270508
0.18,0.00044313239471121396,0.016453981399536133
0.24,0.00021442375090914567,0.01961803436279297
0.2,0.00034803853535103624,0.020524024963378906
0.34,0.00023610482270987332,0.02037978172302246
0.05,0.001377523114666504,0.023548126220703125
0.53,-0.00032078186768617206,0.01652383804321289
0.25,0.0004280573075144817,0.020345211029052734
0.19,0.0005274898596168559,0.022652864456176758
0.04,0.0013934079182003067,0.024759769439697266
0.02,0.0018643034109569884,0.023654937744140625
0.08,0.0011648723215074638,0.022064208984375
0.34,0.0001788441147084624,0.018578052520751953
0.17,0.0005773246816196398,0.020470142364501953
0.13,0.0007937158830461782,0.02406907081604004
0.29,0.00021618585148867886,0.01574420928955078
0.04,0.0020098097997056016,0.016697168350219727
0.43,2.899766568899287e-05,0.018733978271484375
0.54,-0.00016618307852964836,0.022806167602539062
0.68,-0.00045150027296989026,0.02468585968017578
0.43,-0.00016799758773172746,0.020037174224853516
0.21,0.00043109417781831555,0.022319793701171875
0.06,0.0013087252416194503,0.02306389808654785
0.21,0.00048205049594531035,0.02452707290649414
0.18,0.0003608981250900964,0.022447824478149414
0.18,0.0006336688927785009,0.020941734313964844
0.45,-0.00021478380265521624,0.02062702178955078
0.26,0.00018312031711396198,0.015522956848144531
0.04,0.001232493725493486,0.019568920135498047
0.1,0.0006660786216692999,0.025367021560668945
0.39,-2.7024820716009534e-05,0.023155927658081055
0.21,0.0003543578664248967,0.025101900100708008
