ips_estimator,slate_estimator,Direct,doubly robust estimator,cmebis,dr_bis,actual_value,null_reward,ips_estimator_square_error,slate_estimator_square_error,Direct_square_error,doubly robust estimator_square_error,cmebis_square_error,dr_bis_square_error,context_dim
0.8169840609243743,1.144617795849914188,0.33863816,0.26865310132910747,0.4341987108003372,0.4341990625045567,0.93859,0.3,0.014788004418464808,0.042447452662773881016,0.35994221433612256,0.4488154482007738,0.254410572620498,0.25441021782753226,30
0.7711922601514367,1.228125169955341045,0.25625646,0.3112611742925781,0.40927557316800395,0.409275808096433,0.93846,0.267,0.027978496794046633,0.08390591068525660168,0.4654016684283407,0.393378366968769,0.2800361576015082,0.28003590896063113,30
0.972116066885067,1.1305691523043583935,0.33665192,0.3022292130862045,0.4589440486178758,0.45894441154643223,0.9373,0.319,0.0012121585133454589,0.03735296523244530098,0.36077811447930397,0.4033149043913074,0.2288244162226972,0.22882406900475913,30
0.8835193409034875,0.5627387669709293938,0.25585926,0.31358953329894806,0.41453903413682786,0.4145391238974731,0.93721,0.28,0.00288268687421792,0.14022870436631251767,0.4642388366345527,0.3889024864884377,0.2731849385563412,0.2731848447257831,30
0.9431405223922074,1.6811151842372451526,0.35580492,0.2976440779192981,0.40739143256095844,0.4073953607262251,0.93778,0.284,2.8735200317357074e-05,0.5525471961250191244,0.33869499351225146,0.4097739987381105,0.28131203247003866,0.2813078655775722,30
0.8356454461772995,1.480558177444648571,0.27041483,0.2976877140874864,0.4163044968367034,0.41631114991602625,0.93633,0.264,0.010137379378476268,0.29618430912472398786,0.44344301462947405,0.40786396935556074,0.27042652394023975,0.2704196044426584,30
0.9936363897483323,1.1345230666770456107,0.3439768,0.3079023552835247,0.45000282696649013,0.4500031710286879,0.93813,0.3,0.0030809593028937724,0.038570236638814481278,0.3530180302116017,0.3971868841648758,0.2382681370536861,0.23826780116158858,30
0.9973147124463172,2.1942773486026632135,0.3144779,0.37735931896209274,0.45468061435970086,0.4546962034013902,0.93692,0.289,0.0036475212914733445,1.5809475020851198046,0.3874341793926059,0.31310815576360657,0.23255482506273312,0.23253979000597735,30
0.9291755011434139,0.9649200896437352126,0.29557776,0.2870570050874101,0.3998314013812305,0.3998328815735091,0.93749,0.281,6.913089123617313e-05,0.0007524098178633468158,0.4120513180703463,0.42306308087096134,0.28907676866869914,0.28907517699467766,30
0.07418273657061844,1.1564686505978689635,0.25672027,0.3391364357646755,0.43575298105145177,0.4357486922949562,0.93682,0.27,0.7441430482569321,0.048245529709464718415,0.4625356363710719,0.3572256429570412,0.2510681574779848,0.2510724554052426,30
0.9684400501114907,0.9985527409408626598,0.27990326,0.30680366030968503,0.45771120590431824,0.4577114334630462,0.93751,0.302,0.0009566679998993288,0.0037262162215732723934,0.4324466207403049,0.39779048692555496,0.23020688281567037,0.23020666445091562,30
0.978620273197206,1.2310716907291698874,0.27089536,0.31465199780724845,0.4367100932780685,0.43671055874556075,0.93681,0.272,0.001748098944825001,0.086589942630789590305,0.44344230523541506,0.38708057969247583,0.2500999167032847,0.25009945114300236,30
0.9777300804346405,1.0909132078061420934,0.3216962,0.27336541454119356,0.4259010212894923,0.425901357443861,0.93671,0.274,0.0016826469988643722,0.023778629297704242246,0.37824198399851006,0.4400260390575158,0.2609258127312719,0.2609254693100455,30
0.9946648855242517,1.029026984803645739,0.28112477,0.3562027776904229,0.43344020024527624,0.4334423877013,0.93796,0.302,0.0032154440423184877,0.00829319572122744382,0.4314325185266607,0.3384414657093546,0.25454022834454654,0.25453802111958146,30
