ips_estimator,slate_estimator,Direct,doubly robust estimator,cmebis,dr_bis,actual_value,null_reward,ips_estimator_square_error,slate_estimator_square_error,Direct_square_error,doubly robust estimator_square_error,cmebis_square_error,dr_bis_square_error,context_dim
0.8357445168524511,3.3275866876550774798,0.45337507,0.4786007700445061,0.554059388127031,0.5540593296442976,0.92168,0.391,0.00738490726380267,5.788386989703425911,0.21930950625674275,0.19631920401795352,0.13514491427385614,0.13514495727277603,20
0.929012975668071,1.1547385957689786373,0.378076,0.3865951516064375,0.556253199097614,0.556255518915064,0.92248,0.363,4.2679771079607516e-05,0.05394405530857787623,0.2963757292609687,0.2871725707377915,0.13412206969919588,0.13412037054593065,20
0.9307576218778094,2.783480215751926945,0.325379,0.3214122474949648,0.5463102269630828,0.5463102269672488,0.92179,0.346,8.04182421433661e-05,3.465890459426455461,0.355706064203364,0.3604534457029973,0.14098505995985483,0.1409850599567263,20
0.16441095205674242,0.77912381602628733024,0.37139392,0.40630684430856784,0.5201604737784586,0.5201583838259646,0.92075,0.361,0.5720487554437133,0.020057975986955894204,0.3017921037414693,0.2646517604377591,0.16047196851839893,0.1604736429489257,20
0.8089271846337025,1.5348972919088488265,0.4199066,0.38074355269661464,0.5671859142752387,0.5671866604497762,0.92187,0.358,0.01275607954286556,0.37580246062509697902,0.2519672685843157,0.29281783197118344,0.1258008006664098,0.12580027135449934,20
0.8567689373607085,0.98411685260925818586,0.37167516,0.41077393636591025,0.5346681861866763,0.534669493289371,0.92174,0.374,0.004221238980478744,0.0038908717414371249768,0.30257132434556305,0.2610863181857167,0.1498245890487363,0.14982357716522313,20
0.4778546274537997,0.9794404528527401732,0.36254138,0.37949735142723057,0.5356980922285905,0.5356977318009092,0.92157,0.351,0.19688333183381332,0.0033489893133812199781,0.3125130007246023,0.2938427563306971,0.14889712920714712,0.14889740736511106,20
0.8808501106143316,0.90491317177592234255,0.3155015,0.39862112563753477,0.5853309654914803,0.5853311652973561,0.92174,0.363,0.001671983053972197,0.0002831421480826169768,0.3675251054274482,0.2736533567142527,0.11317103849895438,0.11317090406599081,20
0.7211322330775723,0.65763793575250839574,0.38931194,0.3991200033084934,0.55494221821724,0.554942513118509,0.92045,0.357,0.03972757221094319,0.0690701811140276567,0.28210763933515615,0.2717849654503663,0.1335959385437537,0.13359572296642336,20
0.7223120512717841,1.4254940226327175168,0.42855537,0.3733837940307471,0.531684629901682,0.5316847902125922,0.92098,0.337,0.03946895385187703,0.2545343990330463102,0.24248201684406384,0.29986160479192053,0.1515508851799864,0.15155076036342188,20
0.8255160185449815,0.747156736990289172,0.45341003,0.4383428399884964,0.5915762532054759,0.5915765863177523,0.92013,0.367,0.008951805486770591,0.029919749716226597819,0.21782753094630214,0.2321188675519502,0.10794756453272025,0.10794734564225816,20
0.17927688121243604,0.8921637439208345288,0.38236642,0.43367775161117506,0.6392222056207301,0.6392220773015593,0.92045,0.364,0.5493375920132845,0.00080011228297612556337,0.2895339403155835,0.23694722180151187,0.07908907233142892,0.07908914450528011,20
0.9484480259019343,0.9728507676422609718,0.42215398,0.41484283635167774,0.5616154140283727,0.5616161577222029,0.92112,0.369,0.0007468209996967911,0.002676072320857593792,0.24896708957381772,0.2563165664317901,0.12924354733463123,0.1292430126124993,20
0.972490191151055,1.0291298479860531145,0.38521948,0.3518455888748449,0.5008547061397857,0.50085776039415,0.92099,0.359,0.0026522696885952013,0.0116942267224466860814,0.2870500452066543,0.3239253607149996,0.17651366514700864,0.17651109875622736,20
0.7091872513836088,0.7073312350619903599,0.32248792,0.3994064229484493,0.5541693018395509,0.5541703674174827,0.92116,0.369,0.04493244615598776,0.045722740714914569815,0.35840825874568677,0.27222679516608844,0.13468217253629383,0.13468139042305102,20
0.1380533918133427,0.9029196392930805004,0.36979908,0.4385032999249821,0.6401692451132001,0.6401692450872383,0.92176,0.374,0.6141960477154348,0.00035495919156683684382,0.30466085995509146,0.23353703816739582,0.07929335323771786,0.07929335325233906,20
0.45861145352239313,1.6713878220869133884,0.35419697,0.4258544600928235,0.531552836088843,0.5315525563636465,0.92061,0.37,0.2134426569474215,0.56366733813756875193,0.3208237254312457,0.24478304426884173,0.15136547679059295,0.1513656944488544,20
0.17435350564292118,0.9091839189093060547,0.36863032,0.37024896134554147,0.6758327956731435,0.6758323047106067,0.92217,0.35,0.5592295092325109,0.00016863830209408049829,0.3064061775185483,0.30461683290941644,0.06068201823557148,0.06068226012048999,20
