ips_estimator,slate_estimator,Direct,doubly robust estimator,cmebis,dr_bis,actual_value,null_reward,ips_estimator_square_error,slate_estimator_square_error,Direct_square_error,doubly robust estimator_square_error,cmebis_square_error,dr_bis_square_error,num_items
0.7921224448773018,21.212386790641154732,0.27343822,0.20932414823656878,0.269472910627871,0.26947291062808654,0.78254,0.32,9.182324982652663e-05,417.3786398890705982,0.25918462722979363,0.328576412712876,0.2632378381967882,0.26323783819656704,20
0.6279751608066835,2.3329920204183007826,0.44177982,0.2607751991747624,0.3800355745049719,0.38003558703428547,0.77898,0.4,0.022802461459799386,2.4149533596045693606,0.11370395996828574,0.26853621559832414,0.15915665463355805,0.15915664463655857,20
0.31399842742649875,0.7683476096501117292,0.42639136,0.3758559633048295,0.33109927823825186,0.33109925056679856,0.78152,0.38,0.2185764208215996,0.00017351186752982887085,0.1261163487152569,0.16456331066782062,0.20287882659237413,0.20287885151996682,20
0.2580875306721177,4.1275417279099126944,0.5258264,0.35037219663366337,0.4769961091199317,0.4769960637352394,0.7785,0.44,0.27082913823194393,11.216080495281815388,0.06384395088708329,0.18329341601528457,0.09090459621582013,0.0909046235831448,20
0.4368481232673932,22.91787179524943241,0.31368223,0.36563593522154064,0.3153743810190804,0.31537438101910525,0.7816,0.36,0.11885385651065448,490.01452899315557943,0.21894704104761525,0.1730261031870183,0.21736632779414158,0.2173663277941184,20
0.7500180384909475,1.6584068057602114887,0.45563918,0.5102079160901816,0.44592163501278637,0.4459216628405152,0.78121,0.43,0.00097293846278221,0.7694742360359182465,0.10599635654262637,0.07344212948346425,0.11241828769579895,0.11241826903517232,20
0.4321558564396311,0.69705699849836999515,0.18695836,0.24458129750217028,0.3799582728425057,0.37995823040876686,0.78022,0.37,0.1211486480324131,0.0069160848187601138212,0.3519593762342644,0.2869088196135586,0.16020945022710043,0.16020948419630543,20
0.4929982785713026,1.1734484812882557403,0.38897693,0.5205755218331825,0.4346926749917832,0.43469264995234846,0.7831,0.41,0.08415900877589358,0.15237193684404778948,0.15533299306713316,0.06891910163675988,0.12138766411938122,0.1213876815672268,20
0.30226712217431045,3.0620633916942257002,0.43768498,0.43851552717028464,0.39047551523547674,0.3904755029563546,0.77953,0.39,0.22777985455045902,5.209958684199145651,0.11685801563743359,0.11629087067932864,0.15136339211538863,0.15136340166988385,20
0.547381103630197,0.22396524201731662918,0.4596164,0.4165698593400476,0.39780581992619923,0.39780585055739925,0.77876,0.34,0.05353619368530805,0.3077972234850642197,0.10185264198415449,0.13118169799127613,0.14512608731570184,0.14512606397753539,20
0.4748790124266539,-0.803056055594571494,0.49935433,0.3949565065182244,0.4631606297472334,0.46316061861681895,0.78313,0.43,0.09501867133994316,2.5159862029626651747,0.08052862935980648,0.15067866104184607,0.10238039789995206,0.10238040502273556,20
0.5699763170496904,0.4385719391855762428,0.3892743,0.5209487683391731,0.4256231563803031,0.42562315638043346,0.77843,0.39,0.043452937935548164,0.11550350150054053411,0.15144215950814477,0.06629658465757636,0.12447266890489321,0.12447266890480124,20
0.1146575683024271,-0.29547553420434818916,0.33060795,0.39715754105034407,0.408884815119676,0.40888481712945035,0.78,0.39,0.44268055141723944,1.1566476246721282273,0.20195321398537075,0.14656834837461902,0.13772648044875707,0.13772647895704151,20
0.8808043023138993,0.67194522094609454577,0.51619595,0.3946673283374836,0.4646260600717193,0.46462639828727115,0.78356,0.43,0.00945645433251703,0.012457858903252140223,0.0714835336858066,0.15123751007280983,0.10171885803817618,0.10171864230145358,20
0.49695511191525876,1.2415743327180790434,0.4518943,0.29440943683949955,0.33897684752856,0.338976847528563,0.77907,0.38,0.0795888100790661,0.21391025778299552207,0.10704393010044984,0.2348958614830535,0.19368198285225016,0.19368198285224753,20
0.0500658942572095,2.4326313611604781784,0.38073742,0.570886967177671,0.4724830066484991,0.4724830066489163,0.78248,0.46,0.5364304222910113,2.72299951473977897,0.1613970974540438,0.0447716115389512,0.09609813588697044,0.0960981358867118,20
0.14759740876797,0.8468026943348384572,0.36895734,0.4834571015684643,0.4105990032992347,0.41059900329906535,0.78341,0.32,0.40425765116918855,0.004018633695030257927,0.17177100678648888,0.08997174127747921,0.13898803926101808,0.13898803926114434,20
0.9263568983460129,0.7262132270111741894,0.468264,0.37008209227961336,0.4120757587205403,0.4120771198352156,0.78197,0.44,0.020847576413981838,0.0031088177341274630776,0.09841144594785378,0.1696516485262778,0.1368217497317072,0.1368207427965996,20
0.3532555231731609,0.4027793099514800912,0.30945706,0.22915799026480765,0.36974422877273866,0.36974421662160006,0.78143,0.38,0.18333338260593735,0.14337634507422028496,0.2227584526233116,0.30500437273694836,0.16948517423098491,0.1694851842358868,20
0.9282641152977223,1.820982887833757502,0.32539696,0.45202937952519334,0.42644037397720447,0.4264403739773364,0.78176,0.42,0.02146345579916832,1.0799842105975345774,0.20826722882955545,0.108722282078701,0.1262520366369793,0.1262520366368855,20
0.1751441801727255,1.2443035602518148774,0.42341718,0.3367152179969256,0.41725814789321497,0.4172580315061874,0.78023,0.41,0.3661288493560449,0.2153642693247948825,0.12731538796215353,0.19670536185523457,0.1317485654218298,0.13174864991227328,20
0.7872502443535078,0.20164805054834469833,0.36265704,0.42424379085209496,0.4133699504411088,0.41336998506850814,0.78035,0.41,4.761337213811598e-05,0.33489594629914620771,0.17446740853483617,0.1268116321936915,0.13467435677424622,0.134674331359118,20
